Year,WAR,Hits,Homers,RBIs,Runs,Season
1939,6.7,185,31,145,131,1
1940,6.3,193,23,113,134,2
1941,10.6,185,37,120,135,3
1942,10.6,186,36,137,141,4
1943,0,0,0,0,0,5
1944,0,0,0,0,0,6
1945,0,0,0,0,0,7
1946,10.9,176,38,123,142,8
1947,9.9,181,32,114,125,9
1948,8.5,188,25,127,124,10
1949,9.1,194,43,159,150,11
1950,3.9,106,28,97,82,12
1951,7.2,169,30,126,109,13
1952,0.3,4,1,3,2,14
1953,2,37,13,34,17,15
1954,7.8,133,29,89,93,16
1955,6.9,114,28,83,77,17
1956,6,138,24,82,71,18
1957,9.7,163,38,87,96,19
1958,4,135,26,85,81,20
1959,-0.2,69,10,43,32,21
1960,3,98,29,72,56,22