Year,WAR,Homers,Hits,RBIs,Runs,Season
1897,1.4,2,81,39,38,1
1898,3.4,10,176,105,80,2
1899,5.8,7,196,114,100,3
1900,6.5,4,201,100,107,4
1901,7.1,6,194,126,101,5
1902,7.3,3,176,91,105,6
1903,7.6,5,182,101,97,7
1904,8.3,4,171,75,97,8
1905,10.1,6,199,101,114,9
1906,9.3,2,175,71,103,10
1907,8.9,6,180,82,98,11
1908,11.5,10,201,109,100,12
1909,9.2,5,168,100,92,13
1910,5.2,4,178,81,90,14
1911,6.5,9,158,89,87,15
1912,8.1,7,181,101,91,16
1913,3,3,124,56,51,17
1914,3.6,1,139,50,60,18
1915,5.6,6,155,78,68,19
1916,2.6,1,124,39,45,20
1917,-0.1,0,61,24,15,21